name,position,team,byeWeek,price
MarShawn Lloyd, RB, GB,5,2
Jaylen Wright, RB, MIA,12,2
Justice Hill, RB, BAL,7,2
Kendre Miller, RB, NO,11,2
Raheem Mostert, RB, LV,8,2
Brandon Aiyuk, WR, SF,14,2
Xavier Legette, WR, CAR,14,2
Emeka Egbuka, WR, TB,9,2
Kyle Pitts Sr., TE, ATL,5,2
Darren Waller, TE, MIA,12,2
Colston Loveland, TE, CHI,5,2
Jonnu Smith, TE, PIT,5,2
Brenton Strange, TE, JAC,8,2
Cade Otton, TE, TB,9,2
Buffalo Bills, DST, BUF,7,2
Denver Broncos, DST, DEN,12,2
Philadelphia Eagles, DST, PHI,9,2
Houston Texans, DST, HOU,6,2
Joe Flacco, QB, CLE,9,1
Daniel Jones, QB, IND,11,1
Spencer Rattler, QB, NO,11,1
Jaxson Dart, QB, NYG,14,1
Kenny Pickett, QB, CLE,9,1
Dillon Gabriel, QB, CLE,9,1
Shedeur Sanders, QB, CLE,9,1
Jalen Milroe, QB, SEA,8,1
Mason Rudolph, QB, PIT,5,1
Jameis Winston, QB, NYG,14,1
Miles Sanders, RB, DAL,10,1
Woody Marks, RB, HOU,6,1
Samaje Perine, RB, CIN,10,1
Blake Corum, RB, LAR,8,1
Christian Kirk, WR, HOU,6,1
Jayden Higgins, WR, HOU,6,1
Mike Gesicki, TE, CIN,10,1
Baltimore Ravens, DST, BAL,7,1
Dallas Cowboys, DST, DAL,10,1
Pittsburgh Steelers, DST, PIT,5,1
Green Bay Packers, DST, GB,5,1
Minnesota Vikings, DST, MIN,6,1
New York Giants, DST, NYG,14,1
Detroit Lions, DST, DET,8,1
San Francisco 49ers, DST, SF,14,1
Los Angeles Chargers, DST, LAC,12,1
Kansas City Chiefs, DST, KC,10,1
Brandon Aubrey, K, DAL,10,1
Matt Gay, K, WAS,12,1
Chase McLaughlin, K, TB,9,1
Jake Elliott, K, PHI,9,1
Jason Sanders, K, MIA,12,1
Tyler Bass, K, BUF,7,1
Cameron Dicker, K, LAC,12,1
Jake Bates, K, DET,8,1
Tyler Loop, K, BAL,7,1
Evan McPherson, K, CIN,10,1
Ka'imi Fairbairn, K, HOU,6,1
Harrison Butker, K, KC,10,1
Brandon McManus, K, GB,5,1
Younghoe Koo, K, ATL,5,1
